"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTD-2335O3.3",3.93811217707,-0.375088997289241,0.961735433395466,-0.390012662801626,0.696527183374517,0.768108137703486
"CTD-2336H13.1",1.0546055248746,-4.07168721654041,2.22884146860199,-1.82681777681313,0.0677271721303866,0.119709414161818
"CTD-2336O2.1",157.296844567354,1.88538322017866,0.551615085519621,3.41793266658512,0.000630987150037225,0.00218188755578595
"CTD-2337I7.1",0.73525410904801,-3.06155726775798,1.98743757255844,-1.54045455818611,0.123449591335456,0.19574418077255
"CTD-2339L15.3",20.860208767476,-3.41112049098482,0.855798150757882,-3.98589373903646,6.7226594976174e-05,0.000300739801937887
"CTD-2340D6.1",0.733773225064289,1.27355521291896,1.21836615271447,1.04529759800166,0.295885447477975,0.393145521869909
"CTD-2340E1.2",2.33796979000801,-0.703663932744872,0.806530070953026,-0.872458396887045,0.382958354746269,0.483085863953657
"CTD-2341M24.1",10.0440138823249,-2.51121379768279,1.08038180078004,-2.32437624909054,0.0201053373789701,0.0434688150970713
"CTD-2342J14.6",18.3513562672015,-0.393618314200225,0.485669803968661,-0.810464869307839,0.417673048088178,0.517309288543618
"CTD-2342N23.3",3.36518781336203,1.89599442744651,1.40234511685543,1.35201699257742,0.176369879401303,0.261132382462966
"CTD-2349P21.1",1.09447458275428,-3.24387351195726,1.33789498053914,-2.42460997248831,0.0153248410466154,0.0344976363354824
"CTD-2349P21.10",7.489887326614,-3.30361699738303,0.764773457226587,-4.31973281259451,1.5621822523497e-05,8.12590485578629e-05
"CTD-2349P21.11",1.87527040864284,0.259253659798752,0.887548227498006,0.292100926762692,0.770209458117178,0.827744916274861
"CTD-2349P21.5",96.1586359482288,-0.799549669147936,0.787691455863296,-1.01505438861419,0.310079902099829,0.408069762450921
"CTD-2349P21.9",138.965282317252,0.475492170219688,0.353106722745018,1.34659619766867,0.178110319436623,0.263165855052612
"CTD-2350C19.2",65.1865347274623,-2.35509146579804,0.456585445817695,-5.15805198648047,2.49532344744198e-07,1.89668999413611e-06
"CTD-2350C19.5",3.73576148892504,-5.85763685949964,2.17285562493875,-2.69582423805298,0.00702147050237148,0.0177900155049666
"CTD-2353N24.1",1.02004489030687,1.83509488379505,1.18834936101206,1.54423854129243,0.12253055515047,0.194617996377812
"CTD-2354A18.1",5.12887355011286,1.05274445716055,0.547708290750446,1.92208968704513,0.0545944735150435,0.100123285504635
