,SC4.435_flank,SC4.613_flank,SC4.616_flank,SC4.917_flank,SC4.918_flank,SC4.920_flank,SC39.739_flank,SC39.963_flank,SC39.964_flank,SC16.A1465,SC16.A1466,SC16.A1467,SC49.A1428,SC49.A1430,SC49.A1431,TC568c.A1531,TC568c.A1532,TC568c.A1533
FANCB,179,157,134,250,80,88,323,281,216,86,162,166,140,154,250,95,141,293
FANCC,924,903,740,749,643,744,1919,1437,1395,101,617,356,1661,1155,1826,946,1000,2057
FANCD2,690,724,651,797,515,519,895,855,774,261,520,439,965,591,782,636,758,976
FANCD2OS,6,9,1,0,5,5,6,9,7,0,0,0,2,0,0,3,2,0
FANCD2P2,2,1,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
FANCE,649,595,576,475,447,554,1007,970,1003,76,369,235,1298,1142,868,592,656,1254
FANCF,760,859,793,846,538,647,859,662,662,249,1162,862,1292,1576,2196,915,1187,2417
FANCG,2226,2220,2009,1768,1611,1693,3947,3482,3935,457,1916,1369,2697,1400,2124,1723,1976,2908
FANCI,5465,5327,4688,5728,3706,3990,5325,4799,4999,2226,3579,3114,9253,5636,6490,5954,6939,8636
FANCL,1792,1542,1537,1655,1051,1130,2666,2051,1965,1093,1726,2245,3456,2179,2712,2454,2584,2990
FANCM,474,472,381,469,256,281,1198,951,859,519,682,961,637,713,1141,376,424,762
FANK1,112,111,92,74,66,116,4,9,4,22,84,68,151,110,99,69,86,124
FANK1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAP,7,15,3,16,27,33,11,14,3,12,2,9,14,2,13,11,5,2
FAR1,4411,3906,3604,6117,2130,2690,3605,1964,2019,680,2670,2274,5372,3630,5229,3726,4654,6982
FAR1-IT1,14,18,13,8,21,18,10,15,8,2,2,6,12,7,3,8,12,5
FAR1P1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FAR2,351,385,240,394,182,303,3,0,1,123,597,420,449,255,630,701,871,1970
FAR2P1,12,16,20,18,11,7,606,304,317,1,1,2,20,2,2,4,8,5
FAR2P2,657,788,651,925,498,650,852,569,435,2,28,5,46,40,13,9,28,22
FAR2P3,4,1,6,3,2,3,41,31,11,0,1,3,0,0,1,0,0,0
FAR2P4,5,0,3,4,0,2,59,26,24,0,0,0,2,0,0,0,0,0
FARP1,8054,7780,7200,8903,4857,6911,13076,11045,10199,1079,3213,2471,1476,1081,970,1011,876,1249
FARP1-AS1,5,7,4,7,12,16,3,7,9,4,2,3,9,2,0,5,11,1
FARP2,1520,1450,1260,1682,1188,1734,2379,2784,2873,481,844,568,1109,810,1023,858,893,1312
FARS2,262,320,279,335,220,327,281,263,207,80,377,277,458,582,497,233,266,544
FARSA,2642,2899,2509,2237,1945,2378,2892,2928,2815,328,1937,834,1975,1476,2170,1203,1439,3097
FARSB,1945,2018,1538,2330,1496,1493,1712,1240,1216,509,1849,1329,2124,2936,4288,1447,1579,3559
FARSBP1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAS,100,65,109,98,59,68,7,27,35,23,54,42,10,3,0,1,1,10
FASLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FASN,6242,5720,4567,5135,3634,5210,4906,3860,3651,202,1275,482,1835,1138,1453,1161,1287,2261
FASTK,1679,1710,1433,1219,1451,1862,2454,2425,2184,190,528,395,1135,408,719,729,913,805
FASTKD1,988,948,841,1147,562,722,676,645,632,346,595,727,586,539,755,400,438,927
FASTKD2,1009,976,857,1382,662,765,588,480,498,223,792,489,1038,1217,1666,838,912,2260
FASTKD3,303,261,226,390,158,187,401,377,337,183,463,537,1076,901,1289,641,675,1463
FASTKD5,248,233,226,174,182,182,379,426,354,71,427,259,703,952,917,411,476,1113
FAT1,1630,3351,2135,7236,2113,2852,4932,3486,4468,375,1794,1059,32,21,66,12,5,27
FAT1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAT2,13,13,25,14,8,7,1,1,1,6,14,20,1420,1653,1282,730,511,652
FAT3,27,59,64,306,63,49,99,38,58,3686,6119,6073,74,27,30,66,72,102
FAT4,42,48,47,28,13,20,6,0,1,19,84,31,2045,3389,1550,1152,1243,2719
FATE1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0
FAU,5444,5822,5232,4402,5312,5535,5757,5126,5622,1266,6438,5066,2969,2607,3149,1330,1499,3448
FAUP1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,0,1,0
